掘进机                                       ,客户    ,中铁十二局集团有限公司                                          ,
边缘刀具（把）                                   ,关联    ,切刀（把）                                                ,
边缘刀具（把）                                   ,关联    ,刮刀（对）                                                ,
边缘刀具（把）                                   ,关联    ,切刀刀间距（mm）                                            ,
边缘刀具（把）                                   ,关联    ,刀高配置                                                 ,
边缘刀具（把）                                   ,关联    ,磨损检测点数量（个）                                           ,
                                          ,      ,                                                     ,
刀间距（mm）                                   ,关联    ,切刀（把）                                                ,
刀间距（mm）                                   ,关联    ,刮刀（对）                                                ,
刀间距（mm）                                   ,关联    ,切刀刀间距（mm）                                            ,
刀间距（mm）                                   ,关联    ,刀高配置                                                 ,
刀间距（mm）                                   ,关联    ,磨损检测点数量（个）                                           ,
                                          ,      ,                                                     ,
切刀（把）                                     ,关联    ,刮刀（对）                                                ,
切刀（把）                                     ,关联    ,切刀刀间距（mm）                                            ,
切刀（把）                                     ,关联    ,刀高配置                                                 ,
切刀（把）                                     ,关联    ,磨损检测点数量（个）                                           ,
                                          ,      ,                                                     ,
刮刀（对）                                     ,关联    ,切刀刀间距（mm）                                            ,
刮刀（对）                                     ,关联    ,刀高配置                                                 ,
刮刀（对）                                     ,关联    ,磨损检测点数量（个）                                           ,
                                          ,      ,                                                     ,
切刀刀间距（mm）                                 ,关联    ,刀高配置                                                 ,
切刀刀间距（mm）                                 ,关联    ,磨损检测点数量（个）                                           ,
刀高配置                                      ,关联    ,磨损检测点数量（个）                                           ,
                                          ,      ,                                                     ,
中心刀具（把）                                   ,参数配置  ,6                                                    ,
正面刀具（把）                                   ,参数配置  ,37                                                   ,
边缘刀具（把）                                   ,参数配置  ,12                                                   ,
刀间距（mm）                                   ,参数配置  ,                                                     ,
切刀（把）                                     ,参数配置  ,80                                                   ,
刮刀（对）                                     ,参数配置  ,24                                                   ,
切刀刀间距（mm）                                 ,参数配置  ,200mm                                                ,
刀高配置                                      ,参数配置  ,                                                     ,
磨损检测点数量（个）                                ,参数配置  ,6                                                    ,
                                          ,      ,                                                     ,
中心回转接头                                    ,细目部件名称,通道数量                                                 ,
通道数量                                      ,参数配置  ,1                                                    ,
                                          ,      ,                                                     ,
主驱动                                       ,细目部件名称,驱动型式                                                 ,
主驱动                                       ,细目部件名称,支承类型                                                 ,
主驱动                                       ,细目部件名称,驱动数量（组）                                              ,
主驱动                                       ,细目部件名称,转速范围（rpm）                                            ,
主驱动                                       ,细目部件名称,额定扭矩（kNm）                                            ,
主驱动                                       ,细目部件名称,脱困扭矩（kNm）                                            ,
主驱动                                       ,细目部件名称,最大工作压力（bar）                                          ,
主驱动                                       ,细目部件名称,主轴承类型                                                ,
主驱动                                       ,细目部件名称,主轴承直径（mm）                                            ,
主驱动                                       ,细目部件名称,主轴承寿命（h）                                             ,
主驱动                                       ,细目部件名称,密封型式                                                 ,
主驱动                                       ,细目部件名称,密封润滑方式                                               ,
                                          ,      ,                                                     ,
驱动型式                                      ,关联    ,支承类型                                                 ,
驱动型式                                      ,关联    ,驱动数量（组）                                              ,
驱动型式                                      ,关联    ,转速范围（rpm）                                            ,
驱动型式                                      ,关联    ,额定扭矩（kNm）                                            ,
驱动型式                                      ,关联    ,脱困扭矩（kNm）                                            ,
驱动型式                                      ,关联    ,最大工作压力（bar）                                          ,
驱动型式                                      ,关联    ,主轴承类型                                                ,
驱动型式                                      ,关联    ,主轴承直径（mm）                                            ,
驱动型式                                      ,关联    ,主轴承寿命（h）                                             ,
驱动型式                                      ,关联    ,密封型式                                                 ,
驱动型式                                      ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
支承类型                                      ,关联    ,驱动数量（组）                                              ,
支承类型                                      ,关联    ,转速范围（rpm）                                            ,
支承类型                                      ,关联    ,额定扭矩（kNm）                                            ,
支承类型                                      ,关联    ,脱困扭矩（kNm）                                            ,
支承类型                                      ,关联    ,最大工作压力（bar）                                          ,
支承类型                                      ,关联    ,主轴承类型                                                ,
支承类型                                      ,关联    ,主轴承直径（mm）                                            ,
支承类型                                      ,关联    ,主轴承寿命（h）                                             ,
支承类型                                      ,关联    ,密封型式                                                 ,
支承类型                                      ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
驱动数量（组）                                   ,关联    ,转速范围（rpm）                                            ,
驱动数量（组）                                   ,关联    ,额定扭矩（kNm）                                            ,
驱动数量（组）                                   ,关联    ,脱困扭矩（kNm）                                            ,
驱动数量（组）                                   ,关联    ,最大工作压力（bar）                                          ,
驱动数量（组）                                   ,关联    ,主轴承类型                                                ,
驱动数量（组）                                   ,关联    ,主轴承直径（mm）                                            ,
驱动数量（组）                                   ,关联    ,主轴承寿命（h）                                             ,
驱动数量（组）                                   ,关联    ,密封型式                                                 ,
驱动数量（组）                                   ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
转速范围（rpm）                                 ,关联    ,额定扭矩（kNm）                                            ,
转速范围（rpm）                                 ,关联    ,脱困扭矩（kNm）                                            ,
转速范围（rpm）                                 ,关联    ,最大工作压力（bar）                                          ,
转速范围（rpm）                                 ,关联    ,主轴承类型                                                ,
转速范围（rpm）                                 ,关联    ,主轴承直径（mm）                                            ,
转速范围（rpm）                                 ,关联    ,主轴承寿命（h）                                             ,
转速范围（rpm）                                 ,关联    ,密封型式                                                 ,
转速范围（rpm）                                 ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
额定扭矩（kNm）                                 ,关联    ,脱困扭矩（kNm）                                            ,
额定扭矩（kNm）                                 ,关联    ,最大工作压力（bar）                                          ,
额定扭矩（kNm）                                 ,关联    ,主轴承类型                                                ,
额定扭矩（kNm）                                 ,关联    ,主轴承直径（mm）                                            ,
额定扭矩（kNm）                                 ,关联    ,主轴承寿命（h）                                             ,
额定扭矩（kNm）                                 ,关联    ,密封型式                                                 ,
额定扭矩（kNm）                                 ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
脱困扭矩（kNm）                                 ,关联    ,最大工作压力（bar）                                          ,
脱困扭矩（kNm）                                 ,关联    ,主轴承类型                                                ,
脱困扭矩（kNm）                                 ,关联    ,主轴承直径（mm）                                            ,
脱困扭矩（kNm）                                 ,关联    ,主轴承寿命（h）                                             ,
脱困扭矩（kNm）                                 ,关联    ,密封型式                                                 ,
脱困扭矩（kNm）                                 ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
最大工作压力（bar）                               ,关联    ,主轴承类型                                                ,
最大工作压力（bar）                               ,关联    ,主轴承直径（mm）                                            ,
最大工作压力（bar）                               ,关联    ,主轴承寿命（h）                                             ,
最大工作压力（bar）                               ,关联    ,密封型式                                                 ,
最大工作压力（bar）                               ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
主轴承类型                                     ,关联    ,主轴承直径（mm）                                            ,
主轴承类型                                     ,关联    ,主轴承寿命（h）                                             ,
主轴承类型                                     ,关联    ,密封型式                                                 ,
主轴承类型                                     ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
主轴承直径（mm）                                 ,关联    ,主轴承寿命（h）                                             ,
主轴承直径（mm）                                 ,关联    ,密封型式                                                 ,
主轴承直径（mm）                                 ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
主轴承寿命（h）                                  ,关联    ,密封型式                                                 ,
主轴承寿命（h）                                  ,关联    ,密封润滑方式                                               ,
密封型式                                      ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
驱动型式                                      ,参数配置  ,变频电驱动                                                ,
支承类型                                      ,参数配置  ,中心支承                                                 ,
驱动数量（组）                                   ,参数配置  ,12                                                   ,
转速范围（rpm）                                 ,参数配置  ,0～2.8                                                ,
额定扭矩（kNm）                                 ,参数配置  ,                                                     ,
脱困扭矩（kNm）                                 ,参数配置  ,                                                     ,
最大工作压力（bar）                               ,参数配置  ,                                                     ,
主轴承类型                                     ,参数配置  ,3排圆柱滚子轴承                                             ,
主轴承直径（mm）                                 ,参数配置  ,4800                                                 ,
主轴承寿命（h）                                  ,参数配置  ,≮10000                                               ,
密封型式                                      ,参数配置  ,                                                     ,
密封润滑方式                                    ,参数配置  ,                                                     ,
                                          ,      ,                                                     ,
盾体                                        ,细目部件名称,超前注浆孔数量（个）                                           ,
盾体                                        ,细目部件名称,前盾外径/板厚（mm）                                          ,
盾体                                        ,细目部件名称,被动搅拌臂数量（个）                                           ,
盾体                                        ,细目部件名称,前盾壳体润滑孔数量（个）                                         ,
盾体                                        ,细目部件名称,土压传感器数量（个）                                           ,
盾体                                        ,细目部件名称,中盾直径（mm）                                             ,
盾体                                        ,细目部件名称,中盾壳体润滑孔数量（个）                                         ,
盾体                                        ,细目部件名称,尾盾直径（mm）                                             ,
盾体                                        ,细目部件名称,尾盾密封刷（道）                                             ,
盾体                                        ,细目部件名称,尾盾止浆板（道）                                             ,
盾体                                        ,细目部件名称,盾尾间隙（mm）                                             ,
盾体                                        ,细目部件名称,同步注浆管数量（根）                                           ,
盾体                                        ,细目部件名称,注脂管数量（根）                                             ,
盾体                                        ,细目部件名称,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
超前注浆孔数量（个）                                ,关联    ,前盾外径/板厚（mm）                                          ,
超前注浆孔数量（个）                                ,关联    ,被动搅拌臂数量（个）                                           ,
超前注浆孔数量（个）                                ,关联    ,前盾壳体润滑孔数量（个）                                         ,
超前注浆孔数量（个）                                ,关联    ,土压传感器数量（个）                                           ,
超前注浆孔数量（个）                                ,关联    ,中盾直径（mm）                                             ,
超前注浆孔数量（个）                                ,关联    ,中盾壳体润滑孔数量（个）                                         ,
超前注浆孔数量（个）                                ,关联    ,尾盾直径（mm）                                             ,
超前注浆孔数量（个）                                ,关联    ,尾盾密封刷（道）                                             ,
超前注浆孔数量（个）                                ,关联    ,尾盾止浆板（道）                                             ,
超前注浆孔数量（个）                                ,关联    ,盾尾间隙（mm）                                             ,
超前注浆孔数量（个）                                ,关联    ,同步注浆管数量（根）                                           ,
超前注浆孔数量（个）                                ,关联    ,注脂管数量（根）                                             ,
超前注浆孔数量（个）                                ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
前盾外径/板厚（mm）                               ,关联    ,被动搅拌臂数量（个）                                           ,
前盾外径/板厚（mm）                               ,关联    ,前盾壳体润滑孔数量（个）                                         ,
前盾外径/板厚（mm）                               ,关联    ,土压传感器数量（个）                                           ,
前盾外径/板厚（mm）                               ,关联    ,中盾直径（mm）                                             ,
前盾外径/板厚（mm）                               ,关联    ,中盾壳体润滑孔数量（个）                                         ,
前盾外径/板厚（mm）                               ,关联    ,尾盾直径（mm）                                             ,
前盾外径/板厚（mm）                               ,关联    ,尾盾密封刷（道）                                             ,
前盾外径/板厚（mm）                               ,关联    ,尾盾止浆板（道）                                             ,
前盾外径/板厚（mm）                               ,关联    ,盾尾间隙（mm）                                             ,
前盾外径/板厚（mm）                               ,关联    ,同步注浆管数量（根）                                           ,
前盾外径/板厚（mm）                               ,关联    ,注脂管数量（根）                                             ,
前盾外径/板厚（mm）                               ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
被动搅拌臂数量（个）                                ,关联    ,前盾壳体润滑孔数量（个）                                         ,
被动搅拌臂数量（个）                                ,关联    ,土压传感器数量（个）                                           ,
被动搅拌臂数量（个）                                ,关联    ,中盾直径（mm）                                             ,
被动搅拌臂数量（个）                                ,关联    ,中盾壳体润滑孔数量（个）                                         ,
被动搅拌臂数量（个）                                ,关联    ,尾盾直径（mm）                                             ,
被动搅拌臂数量（个）                                ,关联    ,尾盾密封刷（道）                                             ,
被动搅拌臂数量（个）                                ,关联    ,尾盾止浆板（道）                                             ,
被动搅拌臂数量（个）                                ,关联    ,盾尾间隙（mm）                                             ,
被动搅拌臂数量（个）                                ,关联    ,同步注浆管数量（根）                                           ,
被动搅拌臂数量（个）                                ,关联    ,注脂管数量（根）                                             ,
被动搅拌臂数量（个）                                ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
前盾壳体润滑孔数量（个）                              ,关联    ,土压传感器数量（个）                                           ,
前盾壳体润滑孔数量（个）                              ,关联    ,中盾直径（mm）                                             ,
前盾壳体润滑孔数量（个）                              ,关联    ,中盾壳体润滑孔数量（个）                                         ,
前盾壳体润滑孔数量（个）                              ,关联    ,尾盾直径（mm）                                             ,
前盾壳体润滑孔数量（个）                              ,关联    ,尾盾密封刷（道）                                             ,
前盾壳体润滑孔数量（个）                              ,关联    ,尾盾止浆板（道）                                             ,
前盾壳体润滑孔数量（个）                              ,关联    ,盾尾间隙（mm）                                             ,
前盾壳体润滑孔数量（个）                              ,关联    ,同步注浆管数量（根）                                           ,
前盾壳体润滑孔数量（个）                              ,关联    ,注脂管数量（根）                                             ,
前盾壳体润滑孔数量（个）                              ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
土压传感器数量（个）                                ,关联    ,中盾直径（mm）                                             ,
土压传感器数量（个）                                ,关联    ,中盾壳体润滑孔数量（个）                                         ,
土压传感器数量（个）                                ,关联    ,尾盾直径（mm）                                             ,
土压传感器数量（个）                                ,关联    ,尾盾密封刷（道）                                             ,
土压传感器数量（个）                                ,关联    ,尾盾止浆板（道）                                             ,
土压传感器数量（个）                                ,关联    ,盾尾间隙（mm）                                             ,
土压传感器数量（个）                                ,关联    ,同步注浆管数量（根）                                           ,
土压传感器数量（个）                                ,关联    ,注脂管数量（根）                                             ,
土压传感器数量（个）                                ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
中盾直径（mm）                                  ,关联    ,中盾壳体润滑孔数量（个）                                         ,
中盾直径（mm）                                  ,关联    ,尾盾直径（mm）                                             ,
中盾直径（mm）                                  ,关联    ,尾盾密封刷（道）                                             ,
中盾直径（mm）                                  ,关联    ,尾盾止浆板（道）                                             ,
中盾直径（mm）                                  ,关联    ,盾尾间隙（mm）                                             ,
中盾直径（mm）                                  ,关联    ,同步注浆管数量（根）                                           ,
中盾直径（mm）                                  ,关联    ,注脂管数量（根）                                             ,
中盾直径（mm）                                  ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
中盾壳体润滑孔数量（个）                              ,关联    ,尾盾直径（mm）                                             ,
中盾壳体润滑孔数量（个）                              ,关联    ,尾盾密封刷（道）                                             ,
中盾壳体润滑孔数量（个）                              ,关联    ,尾盾止浆板（道）                                             ,
中盾壳体润滑孔数量（个）                              ,关联    ,盾尾间隙（mm）                                             ,
中盾壳体润滑孔数量（个）                              ,关联    ,同步注浆管数量（根）                                           ,
中盾壳体润滑孔数量（个）                              ,关联    ,注脂管数量（根）                                             ,
中盾壳体润滑孔数量（个）                              ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
尾盾直径（mm）                                  ,关联    ,尾盾密封刷（道）                                             ,
尾盾直径（mm）                                  ,关联    ,尾盾止浆板（道）                                             ,
尾盾直径（mm）                                  ,关联    ,盾尾间隙（mm）                                             ,
尾盾直径（mm）                                  ,关联    ,同步注浆管数量（根）                                           ,
尾盾直径（mm）                                  ,关联    ,注脂管数量（根）                                             ,
尾盾直径（mm）                                  ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
尾盾密封刷（道）                                  ,关联    ,尾盾止浆板（道）                                             ,
尾盾密封刷（道）                                  ,关联    ,盾尾间隙（mm）                                             ,
尾盾密封刷（道）                                  ,关联    ,同步注浆管数量（根）                                           ,
尾盾密封刷（道）                                  ,关联    ,注脂管数量（根）                                             ,
尾盾密封刷（道）                                  ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
尾盾止浆板（道）                                  ,关联    ,盾尾间隙（mm）                                             ,
尾盾止浆板（道）                                  ,关联    ,同步注浆管数量（根）                                           ,
尾盾止浆板（道）                                  ,关联    ,注脂管数量（根）                                             ,
尾盾止浆板（道）                                  ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
盾尾间隙（mm）                                  ,关联    ,同步注浆管数量（根）                                           ,
盾尾间隙（mm）                                  ,关联    ,注脂管数量（根）                                             ,
盾尾间隙（mm）                                  ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
同步注浆管数量（根）                                ,关联    ,注脂管数量（根）                                             ,
同步注浆管数量（根）                                ,关联    ,盾体主要结构件材质                                            ,
注脂管数量（根）                                  ,关联    ,盾体主要结构件材质                                            ,
                                          ,      ,                                                     ,
超前注浆孔数量（个）                                ,参数配置  ,16个                                                  ,
前盾外径/板厚（mm）                               ,参数配置  ,8800-80                                              ,
被动搅拌臂数量（个）                                ,参数配置  ,4                                                    ,
前盾壳体润滑孔数量（个）                              ,参数配置  ,12                                                   ,
土压传感器数量（个）                                ,参数配置  ,6                                                    ,
中盾直径（mm）                                  ,参数配置  ,8785-60                                              ,
中盾壳体润滑孔数量（个）                              ,参数配置  ,12                                                   ,
尾盾直径（mm）                                  ,参数配置  ,8770-60                                              ,
尾盾密封刷（道）                                  ,参数配置  ,4                                                    ,
尾盾止浆板（道）                                  ,参数配置  ,1                                                    ,
盾尾间隙（mm）                                  ,参数配置  ,40                                                   ,
同步注浆管数量（根）                                ,参数配置  ,2×6                                                  ,
注脂管数量（根）                                  ,参数配置  ,3×10                                                 ,
盾体主要结构件材质                                 ,参数配置  ,Q345B                                                ,
                                          ,      ,                                                     ,
人舱                                        ,细目部件名称,型式                                                   ,
人舱                                        ,细目部件名称,主舱容纳人数（个）                                            ,
人舱                                        ,细目部件名称,副舱容纳人数（个）                                            ,
人舱                                        ,细目部件名称,最大工作压力（bar）                                          ,
                                          ,      ,                                                     ,
型式                                        ,关联    ,主舱容纳人数（个）                                            ,
型式                                        ,关联    ,副舱容纳人数（个）                                            ,
型式                                        ,关联    ,最大工作压力（bar）                                          ,
主舱容纳人数（个）                                 ,关联    ,副舱容纳人数（个）                                            ,
主舱容纳人数（个）                                 ,关联    ,最大工作压力（bar）                                          ,
副舱容纳人数（个）                                 ,关联    ,最大工作压力（bar）                                          ,
                                          ,      ,                                                     ,
型式                                        ,参数配置  ,双舱并联                                                 ,
主舱容纳人数（个）                                 ,参数配置  ,3                                                    ,
副舱容纳人数（个）                                 ,参数配置  ,3                                                    ,
最大工作压力（bar）                               ,参数配置  ,6                                                    ,
                                          ,      ,                                                     ,
螺旋输送机                                     ,细目部件名称,型式                                                   ,
螺旋输送机                                     ,细目部件名称,筒体内径（mm）                                             ,
螺旋输送机                                     ,细目部件名称,最大通过粒径（mm）                                           ,
螺旋输送机                                     ,细目部件名称,最大出渣能力（m3/h）                                         ,
螺旋输送机                                     ,细目部件名称,驱动形式                                                 ,
螺旋输送机                                     ,细目部件名称,驱动组数量（组）                                             ,
螺旋输送机                                     ,细目部件名称,最大扭矩（kN.m）                                           ,
螺旋输送机                                     ,细目部件名称,转速范围（r/min）                                          ,
螺旋输送机                                     ,细目部件名称,旋转方向                                                 ,
螺旋输送机                                     ,细目部件名称,出渣门数量（道）                                             ,
螺旋输送机                                     ,细目部件名称,防涌门形式                                                ,
螺旋输送机                                     ,细目部件名称,观察口数量（个）                                             ,
螺旋输送机                                     ,细目部件名称,渣土改良注入口（个）                                           ,
螺旋输送机                                     ,细目部件名称,土压传感器数量（个）                                           ,
螺旋输送机                                     ,细目部件名称,保压泵接口                                                ,
螺旋输送机                                     ,细目部件名称,油缸伸缩行程（mm）                                           ,
螺旋输送机                                     ,细目部件名称,密封                                                   ,
螺旋输送机                                     ,细目部件名称,密封润滑方式                                               ,
                                          ,      ,                                                     ,
型式                                        ,关联    ,筒体内径（mm）                                             ,
型式                                        ,关联    ,最大通过粒径（mm）                                           ,
型式                                        ,关联    ,最大出渣能力（m3/h）                                         ,
型式                                        ,关联    ,驱动形式                                                 ,
型式                                        ,关联    ,驱动组数量（组）                                             ,
型式                                        ,关联    ,最大扭矩（kN.m）                                           ,
型式                                        ,关联    ,转速范围（r/min）                                          ,
型式                                        ,关联    ,旋转方向                                                 ,
型式                                        ,关联    ,出渣门数量（道）                                             ,
型式                                        ,关联    ,防涌门形式                                                ,
型式                                        ,关联    ,观察口数量（个）                                             ,
型式                                        ,关联    ,渣土改良注入口（个）                                           ,
型式                                        ,关联    ,土压传感器数量（个）                                           ,
型式                                        ,关联    ,保压泵接口                                                ,
型式                                        ,关联    ,油缸伸缩行程（mm）                                           ,
型式                                        ,关联    ,密封                                                   ,
型式                                        ,关联    ,密封润滑方式                                               ,
                                          ,      ,                                                     ,
筒体内径（mm）                                  ,关联    ,最大通过粒径（mm）                                           ,
筒体内径（mm）                                  ,关联    ,最大出渣能力（m3/h）                                         ,
筒体内径（mm）                                  ,关联    ,驱动形式                                                 ,
筒体内径（mm）                                  ,关联    ,驱动组数量（组）                                             ,
筒体内径（mm）                                  ,关联    ,最大扭矩（kN.m）                                           ,
筒体内径（mm）                                  ,关联    ,转速范围（r/min）                                          ,
筒体内径（mm）                                  ,关联    ,旋转方向                                                 ,
筒体内径（mm）                                  ,关联    ,出渣门数量（道）                                             ,
筒体内径（mm）                                  ,关联    ,防涌门形式                                                ,
筒体内径（mm）                                  ,关联    ,观察口数量（个）                                             ,
筒体内径（mm）                                  ,关联    ,渣土改良注入口（个）                                           ,
筒体内径（mm）                                  ,关联    ,土压传感器数量（个）                                           ,
筒体内径（mm）                                  ,关联    ,保压泵接口                                                ,
